Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C7, C8, C9",CP_Elec_10x14.3,6,220uF,
"C10, C11, C12, C13, C14, C15, C16, C4",1210,8,10uF,
"D1, D2, D3, D4",D_SMF,4,SMF10A,
"D5, D6",D_SMC,2,SMCJ33A,
"F1, F2",Fuseholder_Littelfuse_Nano2_157x,2,Fuse,
"H1, H10, H2, H3, H4, H9",Pad_3,6,MountingHole_Pad,
J3,PinHeader_2x03_P2.54mm_Vertical_SMD,1,Conn_02x03_Odd_Even,
"J4, J5, J6, J7, J8, J9",PinHeader_2x02_P2.54mm_Vertical_SMD,6,Conn_02x02_Odd_Even,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TDSON-8-1,8,BSC070N10NS3G,
"R1, R2, R3",2512,3,4mR,
"R4, R5, R6, R7",0603,4,10k,
TH1,1206,1,Thermistor,
U1,PQ2617BHA,1,10uH,
