Designator,Mid X,Mid Y,Rotation,Layer
C1,179.0,-73.951,0.0,top
C10,122.047,-82.0035,270.0,top
C11,118.745,-82.0035,270.0,top
C12,115.443,-82.0035,270.0,top
C13,112.141,-82.0035,270.0,top
C14,158.115,-82.042,270.0,top
C15,154.813,-82.042,270.0,top
C16,151.511,-82.042,270.0,top
C2,179.0,-85.0,0.0,top
C3,94.0,-74.0,180.0,top
C4,161.417,-82.042,270.0,top
C7,94.0,-85.0,180.0,top
C8,94.0,-96.0,180.0,top
C9,179.0,-96.0,0.0,top
D1,120.666,-64.345,90.0,top
D2,134.255,-86.443,180.0,top
D3,152.924,-64.345,90.0,top
D4,139.335,-86.443,0.0,top
D5,107.188,-82.042,270.0,top
D6,166.37,-82.042,270.0,top
F1,98.806,-52.959,0.0,top
F2,181.5,-55.118,270.0,top
H1,91.5,-65.0,0.0,top
H10,181.483,-61.214,0.0,top
H2,91.5,-53.0,0.0,top
H3,98.5,-104.0,180.0,top
H4,91.5,-104.0,180.0,top
H9,181.5,-104.0,180.0,top
J3,136.795,-91.904,90.0,top
J4,99.0,-59.0,180.0,top
J5,166.0,-104.0,180.0,top
J6,107.0,-104.0,180.0,top
J7,174.0,-59.0,90.0,top
J8,117.49,-59.13,0.0,top
J9,156.1,-59.13,0.0,top
Q1,118.253,-69.552,180.0,top
Q2,126.508,-81.632,90.0,top
Q3,118.253,-75.267,180.0,top
Q4,132.223,-81.632,90.0,top
Q5,155.337,-75.267,0.0,top
Q6,141.367,-81.617,90.0,top
Q7,155.337,-69.552,0.0,top
Q8,147.082,-81.617,90.0,top
R1,91.5,-59.0,270.0,top
R2,106.426,-59.944,270.0,top
R3,173.999991,-52.5,0.0,top
R4,118.745,-63.5,90.0,top
R5,132.08,-89.408,270.0,top
R6,154.813,-63.5,90.0,top
R7,132.08,-92.456,270.0,top
TH1,141.875,-92.92,270.0,top
U1,139.205,-63.252,0.0,top
