Designator,Mid X,Mid Y,Rotation,Layer
C1,94.723,-119.378,180.0,top
C10,100.244,-135.674,270.0,top
C100,110.852,-115.989,90.0,top
C101,112.376,-115.989,90.0,top
C102,116.694,-118.783,0.0,top
C103,152.2032,-88.684,90.0,top
C104,120.504,-105.829,0.0,top
C105,120.504,-107.734,180.0,top
C106,120.504,-109.258,0.0,top
C107,120.504,-111.163,180.0,top
C13,114.281,-125.133,0.0,top
C14,97.517,-88.951,270.0,top
C15,108.439,-129.832,270.0,bottom
C16,131.553,-114.465,0.0,top
C17,131.553,-111.417,0.0,top
C18,103.105,-110.655,180.0,top
C19,101.962,-82.715,0.0,bottom
C2,96.374,-131.147,180.0,top
C20,90.151,-84.493,180.0,top
C21,111.614,-113.576,0.0,top
C22,122.79,-106.972,270.0,top
C23,112.757,-108.877,270.0,top
C24,97.898,-82.715,180.0,bottom
C25,139.681,-82.715,180.0,bottom
C28,126.092,-130.086,270.0,top
C29,113.392,-132.626,0.0,top
C3,97.801,-117.496,90.0,top
C30,114.148,-135.039,270.0,top
C31,114.148,-130.086,270.0,top
C32,112.648,-130.086,270.0,top
C33,112.648,-135.039,270.0,top
C34,117.448,-132.586,180.0,top
C35,120.504,-114.973,270.0,top
C36,153.778,-129.197,90.0,bottom
C37,120.504,-118.021,270.0,top
C38,117.837,-129.705,120.0,bottom
C39,106.915,-129.832,270.0,bottom
C4,99.3712,-129.197,90.0,top
C40,128.378,-111.29,0.0,top
C41,152.127,-96.558,270.0,top
C42,128.378,-109.766,0.0,top
C43,153.651,-96.558,270.0,top
C44,95.993,-88.938,270.0,top
C45,127.489,-121.704,270.0,top
C46,117.448,-137.539,180.0,top
C47,121.248,-130.086,270.0,top
C48,114.281,-127.267,0.0,top
C49,119.748,-135.039,270.0,top
C5,98.644,-123.101,270.0,top
C50,146.92,-110.274,270.0,top
C51,131.553,-120.561,0.0,top
C52,131.553,-117.513,0.0,top
C53,93.326,-129.578,270.0,top
C54,132.569,-128.562,225.0,bottom
C55,131.045,-136.182,135.0,bottom
C56,121.266,-133.782,90.0,top
C57,88.373,-117.386,180.0,top
C58,128.378,-106.718,0.0,top
C59,128.378,-108.242,0.0,top
C6,102.597,-135.674,270.0,top
C60,89.305677,-128.001117,225.0,top
C61,89.68238,-122.085,180.0,top
C62,155.302,-129.197,90.0,bottom
C63,119.748,-130.086,270.0,top
C64,121.266,-136.817,270.0,top
C65,114.154,-115.1,90.0,top
C66,145.269,-91.732,180.0,top
C67,145.269,-90.208,180.0,top
C68,149.46,-91.478,90.0,top
C69,149.46,-94.513,270.0,top
C7,100.946,-123.101,270.0,top
C70,127.173,-112.941,180.0,top
C71,147.682,-126.403,0.0,top
C72,146.92,-113.322,90.0,top
C73,136.549623,-110.854823,90.0,top
C74,90.151,-86.017,180.0,top
C75,101.962,-84.239,0.0,bottom
C76,115.932,-114.973,270.0,top
C77,134.22,-118.275,270.0,top
C78,154.1336,-88.684,270.0,top
C79,138.327623,-111.663823,270.0,top
C8,104.883,-135.674,270.0,top
C80,117.456,-114.973,270.0,top
C81,134.855,-125.26,180.0,top
C82,148.571,-114.338,90.0,top
C83,150.222,-116.751,0.0,top
C84,139.851623,-111.663823,270.0,top
C85,97.898,-84.239,180.0,bottom
C86,139.681,-84.239,180.0,bottom
C87,142.094,-109.004,0.0,top
C88,131.553,-123.609,0.0,top
C89,143.745,-84.239,0.0,bottom
C9,103.26,-123.101,270.0,top
C90,114.408,-122.466,90.0,top
C91,110.598,-123.228,180.0,top
C92,153.143,-90.97,180.0,top
C93,124.248,-130.086,270.0,top
C94,122.748,-130.086,270.0,top
C95,122.79,-110.147,270.0,top
C96,143.745,-82.715,0.0,bottom
C97,110.598,-121.704,0.0,top
C98,113.646,-120.18,180.0,top
C99,109.328,-115.989,90.0,top
D1,98.406,-110.02,0.0,top
D10,108.566,-135.928,300.0,bottom
D11,135.109,-132.88,225.0,bottom
D18,139.554,-94.907,180.0,top
D2,98.406,-112.433,0.0,top
D21,139.554,-99.479,180.0,top
D3,89.516,-111.29,90.0,top
D8,102.216,-94.907,0.0,top
D9,96.374,-96.759,270.0,top
L3,122.048,-127.786,0.0,top
L4,112.884,-122.466,270.0,top
L5,113.646,-118.275,0.0,top
R10,131.553,-112.941,0.0,top
R11,148.444,-110.274,270.0,top
R12,99.325,-117.496,90.0,top
R13,98.5885,-115.227,0.0,top
R14,100.8742,-129.197,90.0,top
R15,100.1332,-126.911,0.0,top
R16,131.553,-109.893,0.0,top
R17,154.54,-109.131,0.0,bottom
R19,154.54,-110.655,0.0,bottom
R20,119.742,-112.687,0.0,top
R21,102.216,-97.193,0.0,top
R22,98.66,-96.685,270.0,top
R24,118.98,-114.973,270.0,top
R25,119.107,-134.15,0.0,bottom
R26,107.423,-121.704,270.0,top
R27,109.074,-133.388,270.0,top
R28,124.314,-133.769,270.0,top
R29,122.79,-133.769,270.0,top
R3,94.342,-114.465,180.0,top
R30,92.80015,-98.971,270.0,top
R31,97.4915,-107.988,180.0,top
R32,131.553,-119.037,0.0,top
R33,131.553,-115.989,0.0,top
R34,128.759,-131.737,180.0,top
R35,91.27615,-98.971,90.0,top
R36,154.54,-125.387,0.0,bottom
R37,154.54,-126.911,0.0,bottom
R38,155.302,-123.101,90.0,bottom
R39,94.32415,-98.971,270.0,top
R4,94.596,-126.149,180.0,top
R40,153.778,-123.101,90.0,bottom
R41,89.75215,-98.971,90.0,top
R42,145.142,-104.496,90.0,top
R43,150.222,-118.402,180.0,top
R44,131.553,-127.546,225.0,bottom
R45,133.585,-129.578,225.0,bottom
R46,140.443,-130.721,270.0,top
R47,138.919,-130.721,270.0,top
R48,92.818,-84.239,270.0,top
R49,148.825,-86.779,270.0,top
R5,89.75215,-95.923,90.0,top
R50,146.666,-104.496,270.0,top
R51,143.618,-104.496,90.0,top
R52,148.19,-104.496,270.0,top
R53,139.554,-97.193,180.0,top
R55,142.094,-107.48,0.0,top
R57,131.553,-125.103,0.0,top
R58,119.869,-131.864,270.0,bottom
R6,91.27615,-95.923,90.0,top
R61,153.778,-117.132,90.0,bottom
R62,155.302,-117.132,90.0,bottom
R63,139.554,-101.765,180.0,top
R64,143.618,-101.448,90.0,top
R65,145.142,-101.448,90.0,top
R9,125.965,-121.704,270.0,top
